	Amphimedon_pep.fa_ed	Bombyx_pep.fa_ed	Caenorhabditis_ed	Capitella_pep.fa_ed	Ciona_pep.fa_ed	Crassostrea_pep.fa_ed	Danio_pep.fa_ed	Daphnia.fa_ed	Drosophila_pep.fa_ed	Helobdella_pep.fa_ed	Homo_pep2.fa_ed	Lingula_pep2.fa_ed	Lottia.fa_ed	Lottia_pep.fa_ed	Mnemiopsis_leidyi.prot.fa_ed	Monosiga_pep2.fa_ed	Mus.fa_ed	Mya_pep.fa_ed	Nasonia_pep.fa_ed	Nematostella_pep.fa_ed	Octopus_pep.fa_ed	Pelodiscus_pep.fa_ed	Petromyzon_pep.fa_ed	Priapulus	Rhodnius_pep.fa_ed	Saccoglossus_kowalevskii.prot.fa_ed	Salpingoeca_pep2.fa_ed	Stegodyphus_pep.fa_ed	Strongylocentrotus_pep.fa_ed	Tribolium_pep.fa_ed	Trichoplax_pep.fa_ed	hydra_pep2.fa_ed	Total
OG0000116	0	0	0	0	0	0	2	0	0	0	36	0	0	118	1	0	118	0	0	0	0	47	1	0	0	0	0	0	0	0	0	0	323
OG0000117	46	0	5	44	8	5	9	3	2	7	10	27	19	9	2	1	9	22	0	17	19	3	4	2	0	13	2	4	12	1	9	7	321
OG0000118	9	8	5	10	7	11	16	4	5	9	19	18	7	17	8	7	17	14	5	7	5	8	7	9	4	14	5	17	16	13	5	14	320
OG0000119	0	5	27	17	11	19	12	15	1	14	22	20	15	16	0	1	16	9	11	2	12	16	7	1	7	5	0	11	17	9	0	2	320
OG0000120	1	0	0	78	0	0	0	57	0	107	0	0	0	0	18	0	0	6	0	11	0	0	0	0	0	1	0	0	22	0	0	18	319
OG0000121	12	7	6	8	4	15	18	15	6	1	21	13	17	10	1	5	10	16	4	16	16	12	6	8	6	20	5	12	10	8	4	6	318
OG0000122	13	14	13	10	5	5	10	13	13	6	22	10	13	26	6	5	26	4	12	6	1	8	6	5	4	16	6	7	9	17	3	4	318
OG0000123	2	2	1	28	18	49	5	5	2	4	9	27	16	5	0	3	5	81	10	2	13	3	1	2	2	3	3	2	7	2	0	3	315
OG0000124	2	3	9	15	4	15	30	4	3	12	31	15	10	20	4	1	20	16	2	4	11	12	9	12	13	4	2	11	6	5	3	4	312
OG0000125	4	9	5	3	5	3	56	5	6	8	38	4	3	31	7	0	30	4	4	2	3	22	16	9	3	6	0	7	10	6	2	1	312
OG0000126	8	4	3	31	4	4	15	2	3	5	15	4	6	16	0	11	16	21	3	5	19	11	6	11	3	33	2	6	33	3	1	2	306
OG0000127	0	5	6	46	11	2	3	10	2	23	9	15	10	4	5	0	4	34	3	15	16	0	1	9	3	23	0	7	28	2	6	4	306
OG0000128	0	0	0	1	7	6	8	6	0	1	4	32	13	5	8	3	5	8	0	9	5	5	4	10	1	106	5	3	30	0	0	20	305
OG0000129	2	7	3	13	9	12	26	4	8	15	32	7	7	23	3	1	23	11	5	11	6	14	9	13	5	4	1	5	8	6	3	6	302
OG0000130	6	5	3	10	11	22	10	5	6	4	27	1	9	22	10	4	22	18	7	7	14	10	3	10	4	8	7	4	20	5	5	3	302
OG0000131	0	0	1	12	10	22	6	0	3	6	9	27	18	8	1	0	8	13	0	28	10	4	6	13	5	13	0	11	10	2	1	55	302
OG0000132	6	7	7	9	7	7	12	10	12	5	20	9	6	13	5	8	13	13	6	9	11	11	7	9	5	9	8	9	14	13	8	12	300
OG0000133	0	0	0	29	0	1	0	0	0	0	4	5	0	0	3	0	0	42	1	0	12	0	0	0	32	2	0	93	0	12	0	64	300
OG0000134	80	3	0	13	14	0	0	4	0	0	0	7	0	0	0	0	0	1	9	1	0	0	0	8	0	50	0	4	8	23	0	73	298
OG0000135	28	0	0	24	0	4	2	0	0	2	3	47	7	0	0	0	0	21	0	0	2	5	0	20	0	66	0	1	10	0	0	56	298
OG0000136	0	2	2	15	8	16	52	5	3	1	2	14	2	3	1	1	4	11	1	39	3	2	0	8	13	11	8	6	26	3	0	36	298
OG0000137	141	11	0	3	0	0	0	9	0	3	0	1	0	0	0	1	0	0	66	0	0	0	0	0	0	0	19	28	0	9	0	5	296
OG0000138	58	0	0	17	0	1	1	1	0	113	0	0	0	0	2	0	0	5	1	6	18	2	0	3	0	1	0	4	3	1	0	58	295
OG0000139	10	6	2	7	3	7	25	4	6	6	19	18	7	14	2	18	14	12	5	11	12	11	9	5	3	8	20	2	12	7	2	8	295
OG0000140	0	7	3	3	5	18	30	5	11	7	15	24	10	12	3	0	13	18	4	21	8	12	6	14	6	3	0	10	8	3	3	12	294
OG0000141	62	0	0	11	3	74	0	0	0	0	0	0	7	0	0	1	0	47	0	25	19	0	0	5	0	12	0	5	17	0	0	5	293
OG0000142	5	4	3	8	7	12	32	3	5	15	24	5	5	24	6	2	24	5	3	17	8	14	9	5	5	6	2	10	12	4	4	4	292
OG0000143	8	7	6	7	8	14	22	7	8	16	26	6	10	19	7	0	19	4	5	11	7	19	5	5	5	6	0	8	8	6	4	6	289
OG0000144	0	2	0	53	9	11	8	7	2	0	8	28	10	6	21	0	6	20	1	9	1	5	4	12	1	36	0	1	23	1	0	2	287
OG0000145	1	6	11	6	6	6	28	11	16	8	42	5	7	29	2	0	29	5	7	5	4	10	2	3	7	6	0	1	6	12	2	3	286
OG0000146	0	0	0	6	2	87	31	5	0	4	15	19	3	10	0	0	10	68	0	0	3	5	3	2	0	7	0	0	4	0	0	1	285
